service,account,comment
twitter,CongressmanDan,"not linked, but is official"
twitter,repbarbaralee,"not linked, but is official"
twitter,pedropierluisi,on separate page
twitter,BettyMcCollum04,"not linked, but is official"
twitter,CongCulberson,"not linked, but is official"
twitter,franklautenberg,"not linked, but is official"
twitter,RepShelley,"not linked, but is official"
twitter,DocHastings,"not linked, but is official"
twitter,NydiaVelazquez,"not linked, but is official"
twitter,BillPascrell,"not linked, but is official"
twitter,maziehirono,"no official site yet, but is official"
youtube,SenatorVitter,"official site links to individual video, but not account"
youtube,CongresswomanHirono,"official twitter links to account"
youtube,SenatorWhitehouse,"linked, but obfuscated by javascript"
youtube,SenatorBaucus,"official site links to official videos but not account"
youtube,SenatorIsakson,"official site links to official videos but not account"
youtube,KirstenEGillibrand,"official site links to official videos but not account"